# returns,episode_length
2.433333333333333126e+00,4.000000000000000000e+00
3.398307344782935502e+01,4.000000000000000000e+01
2.975355450236967059e+01,4.000000000000000000e+01
3.064883554106617680e+01,4.000000000000000000e+01
1.164583378765478372e+01,1.400000000000000000e+01
7.332710609457762985e+00,1.000000000000000000e+01
6.852580858403950259e+00,9.000000000000000000e+00
2.988688783570300700e+01,4.000000000000000000e+01
6.667194778862690185e+00,9.000000000000000000e+00
4.067515201222645871e+00,5.000000000000000000e+00
1.395248988171806381e+01,1.600000000000000000e+01
5.600848785384882511e+00,7.000000000000000000e+00
3.091959201010751457e+01,4.000000000000000000e+01
1.004420970956218184e+01,1.200000000000000000e+01
4.278840597983975869e+00,6.000000000000000000e+00
1.071037715138712976e+01,1.300000000000000000e+01
2.981888928196946864e+01,4.000000000000000000e+01
6.011824535302586980e+00,7.000000000000000000e+00
5.612650030689836811e+00,7.000000000000000000e+00
2.821728668243552107e+01,3.700000000000000000e+01
1.128644549763030902e+01,1.300000000000000000e+01
2.379999919946759235e+01,2.900000000000000000e+01
2.910873209138344464e+01,3.500000000000000000e+01
1.910266286997287466e+01,2.500000000000000000e+01
4.896054781292773939e+00,6.000000000000000000e+00
3.852649669979070879e+00,5.000000000000000000e+00
4.679779631764990455e+00,6.000000000000000000e+00
3.171892676357612473e+01,4.000000000000000000e+01
1.021448580393731476e+01,1.200000000000000000e+01
5.445824015852724465e+00,7.000000000000000000e+00
1.785245921468478869e+01,2.300000000000000000e+01
3.293333343878865094e+01,4.000000000000000000e+01
2.140000000182875439e+01,2.700000000000000000e+01
2.791883193197064728e+01,3.400000000000000000e+01
7.820221167207578539e+00,1.100000000000000000e+01
6.332721204999385733e+00,9.000000000000000000e+00
3.215355450236966561e+01,4.000000000000000000e+01
2.053599620332926534e+01,2.600000000000000000e+01
1.352022107746813617e+01,1.900000000000000000e+01
1.839999919919867466e+01,2.000000000000000000e+01
5.745163148919659513e+00,7.000000000000000000e+00
7.212153770510521866e+00,8.000000000000000000e+00
7.698665497419874271e+00,1.000000000000000000e+01
1.194548930642207374e+01,1.400000000000000000e+01
2.747977882330086175e+01,3.300000000000000000e+01
7.365332164086541233e+00,9.000000000000000000e+00
3.051955159170731946e+01,4.000000000000000000e+01
3.351667116086576215e+01,4.000000000000000000e+01
3.228688783570292742e+01,4.000000000000000000e+01
1.327882032356801467e+01,1.500000000000000000e+01
3.078559893671554093e+01,4.000000000000000000e+01
2.084178601772941519e+01,2.500000000000000000e+01
1.128644549763030902e+01,1.300000000000000000e+01
6.098711100524180750e+00,8.000000000000000000e+00
1.973275678815718592e+01,2.600000000000000000e+01
9.185154655964197445e+00,1.200000000000000000e+01
1.891893226955989249e+01,2.400000000000000000e+01
2.644583846404239225e+01,3.300000000000000000e+01
7.211823839956581494e+00,9.000000000000000000e+00
9.177247663470460282e+00,1.100000000000000000e+01
1.487791144082273576e+01,1.900000000000000000e+01
2.584509314621136511e+01,3.000000000000000000e+01
1.885226607257393283e+01,2.500000000000000000e+01
2.985226490668329546e+01,4.000000000000000000e+01
1.141225048288171173e+01,1.500000000000000000e+01
4.845357463962722377e+00,6.000000000000000000e+00
1.047819806726587188e+01,1.200000000000000000e+01
3.151857401532029712e+01,4.000000000000000000e+01
3.175355450233796972e+01,4.000000000000000000e+01
2.646559658155134542e+01,3.100000000000000000e+01
1.248452820667509755e+01,1.400000000000000000e+01
1.117977973721975893e+01,1.400000000000000000e+01
1.681120075609518238e+01,2.000000000000000000e+01
1.627920193391128123e+01,2.000000000000000000e+01
9.445823215083112956e+00,1.100000000000000000e+01
9.382585414110453215e+00,1.200000000000000000e+01
9.819012664132312551e+00,1.300000000000000000e+01
3.214966792452429445e+01,4.000000000000000000e+01
2.624141784507192199e+01,3.100000000000000000e+01
3.533333333333333215e+00,5.000000000000000000e+00
4.498797963118009058e+00,6.000000000000000000e+00
9.544864734141649265e+00,1.100000000000000000e+01
1.757754013153406447e+01,2.300000000000000000e+01
2.046796163638108013e+00,3.000000000000000000e+00
3.274550853460895183e+01,4.000000000000000000e+01
5.579778936418984259e+00,7.000000000000000000e+00
3.052022116876382896e+01,4.000000000000000000e+01
4.019765794740200349e+00,5.000000000000000000e+00
5.064004597471437386e+00,6.000000000000000000e+00
3.079937738157975957e+01,4.000000000000000000e+01
3.404976530785326361e+01,4.000000000000000000e+01
7.816585352281827603e+00,9.000000000000000000e+00
2.704587547437617445e+01,3.400000000000000000e+01
3.018626593416528436e+01,4.000000000000000000e+01
5.118541976043422537e+00,7.000000000000000000e+00
3.533333333333333215e+00,5.000000000000000000e+00
3.339755243761619141e+01,4.000000000000000000e+01
1.181304265134067677e+01,1.400000000000000000e+01
6.711824535302587158e+00,8.000000000000000000e+00
1.215355448848255193e+01,1.600000000000000000e+01
3.079987375041122633e+01,4.000000000000000000e+01
2.845226560289385986e+01,4.000000000000000000e+01
8.534165503524034690e+00,1.100000000000000000e+01
2.924910907685939421e+01,3.500000000000000000e+01
1.093067047539569181e+01,1.300000000000000000e+01
2.017754379292763645e+01,2.300000000000000000e+01
1.606639505009549751e+01,2.100000000000000000e+01
2.171311904615167165e+01,2.600000000000000000e+01
2.408688783543047052e+01,2.900000000000000000e+01
1.358484453921267843e+01,1.700000000000000000e+01
4.745203246074302328e+00,6.000000000000000000e+00
1.807977883279242093e+01,2.000000000000000000e+01
1.225221670509282390e+01,1.500000000000000000e+01
2.831901954598700399e+01,4.000000000000000000e+01
1.599291611089558351e+01,1.800000000000000000e+01
2.995172573226856372e+01,4.000000000000000000e+01
5.878859570065962714e+00,7.000000000000000000e+00
7.978018414125734203e+00,9.000000000000000000e+00
3.014986373985777135e+01,4.000000000000000000e+01
3.298330992733806966e+01,4.000000000000000000e+01
1.637753061089824413e+01,2.000000000000000000e+01
1.579879777294062926e+01,2.200000000000000000e+01
1.304582277421454783e+01,1.500000000000000000e+01
1.117977883096421543e+01,1.300000000000000000e+01
1.531085125654779944e+01,1.700000000000000000e+01
4.366666666666667140e+00,6.000000000000000000e+00
9.276573650680431271e+00,1.100000000000000000e+01
2.231113944490693513e+01,2.500000000000000000e+01
3.148626511182662568e+01,4.000000000000000000e+01
3.105226607257394278e+01,4.000000000000000000e+01
3.134930235284033984e+01,4.000000000000000000e+01
1.501187473519387794e+01,1.800000000000000000e+01
1.367613658481976380e+01,1.600000000000000000e+01
2.958688255541919077e+01,4.000000000000000000e+01
1.291095365098770564e+01,1.500000000000000000e+01
1.173005382054627432e+01,1.400000000000000000e+01
3.195036657534699032e+01,4.000000000000000000e+01
3.358237294990968991e+01,4.000000000000000000e+01
2.498218033894251899e+00,4.000000000000000000e+00
3.556071889966091959e+01,4.000000000000000000e+01
3.055355440918599896e+01,4.000000000000000000e+01
8.962801943779755476e+00,1.100000000000000000e+01
8.519019131148885648e+00,1.200000000000000000e+01
8.444402501220499957e+00,1.000000000000000000e+01
3.340976951385143678e+01,4.000000000000000000e+01
2.108688774413418088e+01,2.600000000000000000e+01
2.705231376435309798e+01,4.000000000000000000e+01
2.940076143100387895e+01,4.000000000000000000e+01
3.071711756496961954e+01,4.000000000000000000e+01
1.849837284427011141e+01,2.100000000000000000e+01
2.272957412613337169e+01,2.600000000000000000e+01
1.805036585223101397e+01,2.300000000000000000e+01
2.875169476196370155e+01,4.000000000000000000e+01
4.896391929009416444e+00,7.000000000000000000e+00
1.419556789356461479e+01,1.900000000000000000e+01
1.628452337242480397e+01,2.200000000000000000e+01
1.226407516590520785e+01,1.500000000000000000e+01
3.431830396456840049e+01,4.000000000000000000e+01
4.832710609457762985e+00,7.000000000000000000e+00
1.184486437772448575e+01,1.400000000000000000e+01
1.743322361574914936e+01,1.900000000000000000e+01
2.906480703171548896e+01,3.900000000000000000e+01
2.594597512355221625e+01,3.200000000000000000e+01
2.147819620888815706e+01,2.900000000000000000e+01
2.894987231416262574e+01,4.000000000000000000e+01
3.215124229838089320e+01,4.000000000000000000e+01
6.378019222937556520e+00,8.000000000000000000e+00
4.033333333333333215e+00,6.000000000000000000e+00
8.843998452718977887e+00,1.100000000000000000e+01
3.188626555312407618e+01,4.000000000000000000e+01
2.982022116903625886e+01,4.000000000000000000e+01
6.019156514770848787e+00,7.000000000000000000e+00
8.397641617803230929e+00,1.000000000000000000e+01
3.095293101274309677e+01,4.000000000000000000e+01
2.843470651693986895e+01,4.000000000000000000e+01
1.214548710156068445e+01,1.400000000000000000e+01
6.432044433857513788e+00,9.000000000000000000e+00
2.029650487038973594e+01,2.500000000000000000e+01
9.313118245382062454e+00,1.200000000000000000e+01
1.156541527240601397e+01,1.400000000000000000e+01
3.001959767646783916e+01,4.000000000000000000e+01
2.994516348004090389e+01,4.000000000000000000e+01
3.304999408508739123e+01,4.000000000000000000e+01
1.275354831582929371e+01,1.500000000000000000e+01
1.264535585752547675e+01,1.500000000000000000e+01
2.988626511182663137e+01,4.000000000000000000e+01
1.214644549763040438e+01,1.400000000000000000e+01
2.921893262012314807e+01,4.000000000000000000e+01
3.118626356888529827e+01,4.000000000000000000e+01
1.701977854209451735e+01,2.200000000000000000e+01
1.771608490776478817e+01,2.200000000000000000e+01
2.955138578750305456e+01,4.000000000000000000e+01
3.276066691093650007e+01,4.000000000000000000e+01
1.093004818076202156e+01,1.300000000000000000e+01
1.859743602103476690e+01,2.500000000000000000e+01
2.738568579882102938e+01,4.000000000000000000e+01
1.913000696801617329e+00,3.000000000000000000e+00
2.488324438255189364e+01,3.400000000000000000e+01
5.478582875598707602e+00,7.000000000000000000e+00
1.641186944312473983e+01,2.000000000000000000e+01
1.634569924056762957e+01,2.100000000000000000e+01
3.096385776056180816e+01,4.000000000000000000e+01
1.746507353013310393e+01,2.500000000000000000e+01
3.095038424749483497e+01,4.000000000000000000e+01
2.908688079088290124e+01,4.000000000000000000e+01
3.125103938423656302e+01,4.000000000000000000e+01
1.504570847956820145e+01,2.000000000000000000e+01
3.161830801759074561e+01,4.000000000000000000e+01
1.145059147582436410e+01,1.600000000000000000e+01
3.011853858855784694e+01,4.000000000000000000e+01
3.018621972042946311e+01,4.000000000000000000e+01
2.592021919352091430e+01,3.600000000000000000e+01
3.055355450233851045e+01,4.000000000000000000e+01
3.093146990061190138e+01,4.000000000000000000e+01
3.061549163841808507e+01,3.700000000000000000e+01
2.905061880560328902e+01,4.000000000000000000e+01
3.107978499948400142e+01,4.000000000000000000e+01
3.011959844252239193e+01,4.000000000000000000e+01
2.791901841170734500e+01,4.000000000000000000e+01
3.174988988791255551e+01,4.000000000000000000e+01
3.173124464903595765e+01,4.000000000000000000e+01
3.154649576979238290e+01,4.000000000000000000e+01
3.226604395667821024e+01,4.000000000000000000e+01
8.298542427317133985e+00,1.000000000000000000e+01
1.801755946517118545e+01,2.200000000000000000e+01
7.010755346552137723e+00,9.000000000000000000e+00
8.463778342830588386e+00,1.100000000000000000e+01
3.135293221975772937e+01,4.000000000000000000e+01
3.121912519397936947e+01,4.000000000000000000e+01
3.004374128888316875e+01,3.800000000000000000e+01
3.125035415496157754e+01,4.000000000000000000e+01
1.959692555577550621e+01,2.600000000000000000e+01
9.645156703609833571e+00,1.200000000000000000e+01
4.878199152328519972e+00,6.000000000000000000e+00
3.021893019094917321e+01,4.000000000000000000e+01
1.224644551151745020e+01,1.500000000000000000e+01
3.174895380369023812e+01,4.000000000000000000e+01
3.268626555312406623e+01,4.000000000000000000e+01
3.088520897386598207e+01,4.000000000000000000e+01
2.643275650717975722e+01,3.400000000000000000e+01
3.081901994193149008e+01,4.000000000000000000e+01
3.281050177892350916e+01,3.900000000000000000e+01
1.643479458027992024e+01,2.200000000000000000e+01
3.148626555312399944e+01,4.000000000000000000e+01
1.139557593220989773e+01,1.300000000000000000e+01
1.674778839308139311e+01,2.100000000000000000e+01
1.757753192024962630e+01,2.000000000000000000e+01
3.091790297996506354e+01,4.000000000000000000e+01
1.717646022721041277e+01,2.200000000000000000e+01
2.505355450236966774e+01,3.500000000000000000e+01
1.867977883096366654e+01,2.100000000000000000e+01
3.198559940590726214e+01,4.000000000000000000e+01
3.045138172835721946e+01,4.000000000000000000e+01
2.521959844515995641e+01,3.400000000000000000e+01
3.201836715709278991e+01,4.000000000000000000e+01
3.121647971632013352e+01,4.000000000000000000e+01
8.599378516151503504e+00,1.100000000000000000e+01
3.045226548538015976e+01,4.000000000000000000e+01
3.295293221979073195e+01,4.000000000000000000e+01
8.113112178184119117e+00,1.000000000000000000e+01
2.093342802055279250e+01,2.900000000000000000e+01
1.027806012782722966e+01,1.200000000000000000e+01
3.018329826274293026e+01,4.000000000000000000e+01
1.386604317433899780e+01,1.800000000000000000e+01
3.462598953146542158e+01,4.000000000000000000e+01
1.345293221975355635e+01,1.800000000000000000e+01
1.301790178199568437e+01,1.500000000000000000e+01
1.751182326664993738e+01,2.000000000000000000e+01
3.011893226869594287e+01,4.000000000000000000e+01
