# Loss,rewards
2.026692628860473633e-01,8.310264078169927737e-01
3.183169960975646973e-01,9.488045752040953351e-01
2.061321735382080078e-01,9.305191628698746831e-01
4.312561750411987305e-01,9.330234718927040705e-01
3.162633478641510010e-01,3.333333333333336063e-02
2.573932409286499023e-01,7.175582990397805228e-01
2.748002707958221436e-01,8.180872382823305422e-01
3.462428152561187744e-01,9.471006514061780512e-01
3.837130367755889893e-01,9.640900720644625110e-01
2.568497061729431152e-01,0.000000000000000000e+00
2.672852277755737305e-01,6.842249657064471968e-01
3.365011811256408691e-01,6.689788706554443687e-01
2.879724204540252686e-01,6.669711544347362020e-01
3.575671017169952393e-01,6.667067638213096670e-01
3.165078163146972656e-01,6.666719469504056583e-01
2.704752981662750244e-01,7.824423963062262510e-01
3.353648185729980469e-01,8.304114597309508738e-01
3.638783693313598633e-01,1.185632160269947805e-01
2.939628362655639648e-01,9.157750342935528920e-01
1.944507658481597900e-01,9.310211293445557201e-01
3.668818771839141846e-01,9.330288455652637758e-01
3.671581447124481201e-01,9.332932361786904218e-01
3.395550251007080078e-01,9.333280530495944305e-01
2.731974720954895020e-01,9.661939729393904663e-01
3.377469182014465332e-01,9.666664630361018196e-01
4.943738579750061035e-01,2.999999879408994374e-01
4.129575788974761963e-01,8.660447183419508477e-01
2.823899686336517334e-01,9.824413667099781700e-01
3.610992133617401123e-01,9.638924101908775688e-01
2.993338704109191895e-01,3.333333333333336063e-02
3.199602365493774414e-01,9.824417009602194328e-01
3.159373402595520020e-01,9.976877960112222610e-01
2.243891805410385132e-01,8.839204779383775801e-01
4.263024330139160156e-01,7.531637392072486614e-01
3.597851991653442383e-01,7.359447448064414532e-01
3.016842603683471680e-01,8.494522572035917429e-01
2.736748158931732178e-01,7.486247142545195965e-01
3.681185543537139893e-01,7.353470131254237208e-01
3.212978541851043701e-01,7.335985092730324952e-01
2.083014249801635742e-01,8.491432879152416291e-01
2.548133432865142822e-01,8.643590612343802215e-01
4.021212458610534668e-01,8.663627844698224001e-01
3.854525089263916016e-01,7.508516149644758331e-01
3.139852583408355713e-01,7.356402675399035251e-01
2.415048927068710327e-01,7.336371271383138604e-01
3.330258727073669434e-01,8.491483733954433566e-01
2.297078818082809448e-01,8.643597309272462725e-01
2.316971719264984131e-01,8.663628726598294749e-01
