# Loss,rewards
3.471563100814819336e+00,6.689788706554443687e-01
2.331828594207763672e+00,6.669711544347362020e-01
1.950604557991027832e+00,6.667067638213096670e-01
2.742660760879516602e+00,6.666719469504056583e-01
2.908156156539916992e+00,6.666673620126735145e-01
2.173956871032714844e+00,6.666667582348652088e-01
3.681875467300415039e+00,6.666666787250301596e-01
3.547180652618408203e+00,6.666666682545993039e-01
3.242135763168334961e+00,6.666666668757771363e-01
4.697263240814208984e+00,6.666666666942037134e-01
2.164434909820556641e+00,6.666666666702929511e-01
3.121249437332153320e+00,6.666666666671442476e-01
2.384621620178222656e+00,6.666666666667295793e-01
2.141526222229003906e+00,6.666666666666749563e-01
2.453323841094970703e+00,6.666666666666677399e-01
2.913052082061767578e+00,6.666666666666668517e-01
1.977666378021240234e+00,6.666666666666668517e-01
3.026439428329467773e+00,6.666666666666668517e-01
2.520577907562255859e+00,7.824417009602194772e-01
3.100839376449584961e+00,9.134628303047751530e-01
3.785690784454345703e+00,9.307166415764861478e-01
3.309814691543579102e+00,8.172137141170680019e-01
1.598213315010070801e+00,8.022668265503959395e-01
2.504259586334228516e+00,6.845234778447708557e-01
4.384043693542480469e+00,6.690181808958820531e-01
3.275612592697143555e+00,6.669763310919131216e-01
4.950870990753173828e+00,6.667074455210201256e-01
5.006902694702148438e+00,6.666720367215609455e-01
3.641166448593139648e+00,6.666673738343892319e-01
3.785296440124511719e+00,6.666667597916342558e-01
4.292812824249267578e+00,6.666666789300368379e-01
5.875830173492431641e+00,7.000000000000000666e-01
5.047367095947265625e+00,7.000000000000000666e-01
3.144410610198974609e+00,7.000000000000000666e-01
2.980120658874511719e+00,7.000000000000000666e-01
2.075841903686523438e+00,8.157750342939372734e-01
1.798547744750976562e+00,7.152460950510665105e-01
2.187474250793457031e+00,7.020077162207165600e-01
1.837771534919738770e+00,7.002643906134276008e-01
2.324999809265136719e+00,8.666666666666666963e-01
2.739160537719726562e+00,8.327113850086175217e-01
2.688431262969970703e+00,7.993338733072282709e-01
2.520154476165771484e+00,6.842233290627116604e-01
3.884675979614257812e+00,6.689788642950542652e-01
3.489505052566528320e+00,6.669711544100821454e-01
