# returns,episode_length
9.184372125934006093e+00,1.200000000000000000e+01
9.518129186196192748e+00,1.400000000000000000e+01
2.735355450054090909e+01,4.000000000000000000e+01
2.958035632406790327e+01,4.000000000000000000e+01
2.951898174114735696e+01,4.000000000000000000e+01
2.851698087925568359e+01,4.000000000000000000e+01
8.779778936418985325e+00,1.000000000000000000e+01
2.958559811765665870e+01,4.000000000000000000e+01
3.098256684912798065e+01,4.000000000000000000e+01
2.925110612202655602e+01,4.000000000000000000e+01
2.239758119040606488e+01,3.300000000000000000e+01
2.668688783570301837e+01,4.000000000000000000e+01
2.822017683459874249e+01,4.000000000000000000e+01
3.028435390092004198e+01,4.000000000000000000e+01
2.961839452406897166e+01,4.000000000000000000e+01
1.915152751718595558e+00,3.000000000000000000e+00
2.842021508969002852e+01,4.000000000000000000e+01
2.795293099591407682e+01,4.000000000000000000e+01
3.105102290577732305e+01,4.000000000000000000e+01
2.921796184543959995e+01,4.000000000000000000e+01
3.033021087625295920e+01,4.000000000000000000e+01
2.888688176850507361e+01,4.000000000000000000e+01
2.962022116900518043e+01,4.000000000000000000e+01
1.933281942195354119e+01,2.600000000000000000e+01
2.738688783570302121e+01,4.000000000000000000e+01
1.304915454586659074e+01,1.800000000000000000e+01
2.925355450236968835e+01,4.000000000000000000e+01
3.143174652119006751e+01,4.000000000000000000e+01
2.861187470557540280e+01,3.800000000000000000e+01
2.761959687744355207e+01,4.000000000000000000e+01
2.858319125597029853e+01,4.000000000000000000e+01
2.274969954111169201e+01,3.200000000000000000e+01
2.855199576401644279e+01,4.000000000000000000e+01
3.065226478431912582e+01,4.000000000000000000e+01
7.246486499212861254e+00,9.000000000000000000e+00
6.798088378039730983e+00,9.000000000000000000e+00
2.948688783570301908e+01,4.000000000000000000e+01
2.981612500513775288e+01,4.000000000000000000e+01
2.891898006779129560e+01,4.000000000000000000e+01
1.979667363468284202e+00,3.000000000000000000e+00
2.790114109305953960e+01,4.000000000000000000e+01
2.918186438659972382e+01,4.000000000000000000e+01
2.298536251636805972e+01,3.000000000000000000e+01
2.945226607253916740e+01,4.000000000000000000e+01
3.025293099408583686e+01,4.000000000000000000e+01
2.948688783570302263e+01,4.000000000000000000e+01
3.161790201817609613e+01,4.000000000000000000e+01
3.122022107722786544e+01,4.000000000000000000e+01
2.899704852733581717e+01,4.000000000000000000e+01
2.945350829966668016e+01,4.000000000000000000e+01
2.841869939207176898e+01,4.000000000000000000e+01
4.919706597723457087e+00,7.000000000000000000e+00
2.975355450236967059e+01,4.000000000000000000e+01
3.115203561881887495e+01,4.000000000000000000e+01
8.012182284737884075e+00,9.000000000000000000e+00
9.085598117624924086e+00,1.300000000000000000e+01
2.399588207670792528e+01,3.300000000000000000e+01
3.011893272532630661e+01,4.000000000000000000e+01
2.958442317222013429e+01,4.000000000000000000e+01
3.068599588467759887e+01,4.000000000000000000e+01
3.014684060172091051e+01,4.000000000000000000e+01
2.898595638132877994e+01,4.000000000000000000e+01
2.984964809256647555e+01,4.000000000000000000e+01
2.945230090246584354e+01,4.000000000000000000e+01
2.649882282366784736e+01,3.700000000000000000e+01
3.061893145098997238e+01,4.000000000000000000e+01
2.445234988065338300e+01,3.500000000000000000e+01
1.558536605876597925e+01,2.300000000000000000e+01
3.091893145098998019e+01,4.000000000000000000e+01
2.975355450236967414e+01,4.000000000000000000e+01
2.938281302915224913e+01,4.000000000000000000e+01
2.913533016547726717e+01,4.000000000000000000e+01
2.905264057677766587e+01,4.000000000000000000e+01
2.918688246043783963e+01,4.000000000000000000e+01
2.955203272543677073e+01,4.000000000000000000e+01
3.021888527275029190e+01,4.000000000000000000e+01
2.955355450215687441e+01,4.000000000000000000e+01
2.831782479499620919e+01,3.900000000000000000e+01
3.150109500878223301e+01,4.000000000000000000e+01
3.045257879293303915e+01,4.000000000000000000e+01
1.125293221975763203e+01,1.700000000000000000e+01
2.935293177848992840e+01,4.000000000000000000e+01
3.015293177768029054e+01,4.000000000000000000e+01
3.028626434313450844e+01,4.000000000000000000e+01
1.196400469059592631e+01,1.400000000000000000e+01
2.958559811765665870e+01,4.000000000000000000e+01
3.221896328659111219e+01,4.000000000000000000e+01
3.005355252608979555e+01,4.000000000000000000e+01
3.065292502101364036e+01,4.000000000000000000e+01
2.854550595681090996e+01,3.900000000000000000e+01
2.985103253253958755e+01,4.000000000000000000e+01
3.061675146083283749e+01,4.000000000000000000e+01
2.971881591893218655e+01,4.000000000000000000e+01
2.298345714147472307e+01,3.200000000000000000e+01
3.058567819649216801e+01,4.000000000000000000e+01
6.251363880357452274e+00,9.000000000000000000e+00
2.718559811765665302e+01,4.000000000000000000e+01
3.121959888645741188e+01,4.000000000000000000e+01
3.058568858442792049e+01,4.000000000000000000e+01
3.131846177907388551e+01,4.000000000000000000e+01
3.308688781999128992e+01,4.000000000000000000e+01
3.075354774187295348e+01,4.000000000000000000e+01
2.958395212343073055e+01,4.000000000000000000e+01
2.153097444983091524e+00,3.000000000000000000e+00
2.933119458776743116e+01,4.000000000000000000e+01
3.182965861075414793e+01,4.000000000000000000e+01
3.171893273924060708e+01,4.000000000000000000e+01
3.065172897654612783e+01,4.000000000000000000e+01
2.238688773025167578e+01,3.300000000000000000e+01
2.968684428692645483e+01,4.000000000000000000e+01
1.218598900279592634e+01,1.500000000000000000e+01
3.632711385008617455e+00,5.000000000000000000e+00
2.965289212560801602e+01,4.000000000000000000e+01
3.255293221975774998e+01,4.000000000000000000e+01
2.925204005048422218e+01,4.000000000000000000e+01
2.845308225604152241e+01,4.000000000000000000e+01
2.965089892641961100e+01,4.000000000000000000e+01
2.988537142907790667e+01,4.000000000000000000e+01
3.135355450236966846e+01,4.000000000000000000e+01
2.798688783366516830e+01,4.000000000000000000e+01
2.971802975066433561e+01,4.000000000000000000e+01
2.935355379330038517e+01,4.000000000000000000e+01
2.958470651585622946e+01,4.000000000000000000e+01
3.086776882140878797e+01,4.000000000000000000e+01
2.945293100980119405e+01,4.000000000000000000e+01
1.308688783570252312e+01,1.800000000000000000e+01
3.081991128368413158e+01,4.000000000000000000e+01
3.135059322569010831e+01,4.000000000000000000e+01
1.052022116742079483e+01,1.500000000000000000e+01
2.958559811765665870e+01,4.000000000000000000e+01
2.931684934790752806e+01,4.000000000000000000e+01
2.978599430243976798e+01,4.000000000000000000e+01
3.095110693822987002e+01,4.000000000000000000e+01
1.836307059424455801e+01,2.300000000000000000e+01
2.515097253666390742e+01,3.400000000000000000e+01
3.228626555309107005e+01,4.000000000000000000e+01
2.985324991097896685e+01,4.000000000000000000e+01
3.068407804657131521e+01,4.000000000000000000e+01
3.171971794361827435e+01,4.000000000000000000e+01
1.862017303518859279e+01,2.600000000000000000e+01
3.091898617853640019e+01,4.000000000000000000e+01
3.051955412399095735e+01,4.000000000000000000e+01
2.918622507654589171e+01,4.000000000000000000e+01
1.978688783570300913e+01,2.700000000000000000e+01
3.055293221979074758e+01,4.000000000000000000e+01
2.935347263262718442e+01,4.000000000000000000e+01
3.251893273920588712e+01,4.000000000000000000e+01
2.983470648528353308e+01,4.000000000000000000e+01
3.001959888642439722e+01,4.000000000000000000e+01
2.938502442640004020e+01,4.000000000000000000e+01
2.891799606072320117e+01,4.000000000000000000e+01
3.008559811765664449e+01,4.000000000000000000e+01
3.008580305477132555e+01,4.000000000000000000e+01
3.019870503028558417e+00,5.000000000000000000e+00
2.788452427864610428e+01,4.000000000000000000e+01
2.925355439691835358e+01,4.000000000000000000e+01
3.025106616127771275e+01,4.000000000000000000e+01
1.532022116903572062e+01,2.000000000000000000e+01
2.936604563650073629e+01,4.000000000000000000e+01
3.091893226956044316e+01,4.000000000000000000e+01
2.655293221975771445e+01,3.600000000000000000e+01
3.251854230719942507e+01,4.000000000000000000e+01
3.057877575335840348e+01,4.000000000000000000e+01
3.008532720136031102e+01,4.000000000000000000e+01
2.948626434313452904e+01,4.000000000000000000e+01
3.158658558948779671e+01,4.000000000000000000e+01
3.051718842204931548e+01,4.000000000000000000e+01
3.001959755533254537e+01,4.000000000000000000e+01
2.961871640939953565e+01,4.000000000000000000e+01
1.198559892147940253e+01,1.700000000000000000e+01
2.950030711719952237e+01,4.000000000000000000e+01
2.963217600786623152e+01,4.000000000000000000e+01
2.812021932467606433e+01,4.000000000000000000e+01
2.848510441649755265e+01,4.000000000000000000e+01
4.280129496971441405e+00,6.000000000000000000e+00
3.055355450236967840e+01,4.000000000000000000e+01
3.295093781061227389e+01,4.000000000000000000e+01
3.198595905556021535e+01,4.000000000000000000e+01
3.091893145098996953e+01,4.000000000000000000e+01
2.191902261310725564e+01,3.000000000000000000e+01
8.950567452712556715e+00,1.200000000000000000e+01
3.021781832025707359e+01,4.000000000000000000e+01
8.364885472099796715e+00,1.100000000000000000e+01
3.008688783570300274e+01,4.000000000000000000e+01
3.025261557538333790e+01,4.000000000000000000e+01
2.815355450236966206e+01,3.600000000000000000e+01
3.045164189200282934e+01,4.000000000000000000e+01
2.374972430947621760e+01,3.000000000000000000e+01
2.908688783567128766e+01,4.000000000000000000e+01
3.208516874235365890e+01,4.000000000000000000e+01
1.851639924107334245e+00,3.000000000000000000e+00
3.008540998840715019e+01,4.000000000000000000e+01
3.059717024464904611e+01,4.000000000000000000e+01
5.731974251407977228e+00,7.000000000000000000e+00
3.152017921157204583e+01,4.000000000000000000e+01
2.958187502400546975e+01,4.000000000000000000e+01
3.200204058741762481e+01,4.000000000000000000e+01
3.213368321083896717e+01,4.000000000000000000e+01
3.116625060584390638e+01,4.000000000000000000e+01
3.058440492328541893e+01,4.000000000000000000e+01
2.945293177849409361e+01,4.000000000000000000e+01
2.835170222623109737e+01,4.000000000000000000e+01
6.447774560392763199e+00,8.000000000000000000e+00
3.482022116876749607e+01,4.000000000000000000e+01
3.001808359985950858e+01,4.000000000000000000e+01
3.072021429095776313e+01,4.000000000000000000e+01
2.865355450233798251e+01,4.000000000000000000e+01
5.485365352671594863e+00,8.000000000000000000e+00
3.251288672596555074e+01,4.000000000000000000e+01
8.913112978981267531e+00,1.200000000000000000e+01
2.938626434313452407e+01,4.000000000000000000e+01
3.005235593438234076e+01,4.000000000000000000e+01
2.975293100980117700e+01,4.000000000000000000e+01
1.553249338879705910e+01,2.200000000000000000e+01
1.248644527155234130e+01,1.600000000000000000e+01
2.998499062289256756e+01,4.000000000000000000e+01
3.295230793023829108e+01,4.000000000000000000e+01
3.108688783570300274e+01,4.000000000000000000e+01
3.295254225742963428e+01,4.000000000000000000e+01
1.055355450209720480e+01,1.400000000000000000e+01
3.138387350789884422e+01,4.000000000000000000e+01
3.055355450236968551e+01,4.000000000000000000e+01
1.953479764740080782e+01,2.700000000000000000e+01
3.085355450212837525e+01,3.900000000000000000e+01
3.001959844516078135e+01,4.000000000000000000e+01
2.918537901295172432e+01,4.000000000000000000e+01
3.055355450236968906e+01,4.000000000000000000e+01
5.579778936418984259e+00,7.000000000000000000e+00
2.743599620332988920e+01,4.000000000000000000e+01
3.241711549225147593e+01,4.000000000000000000e+01
3.082021588875258544e+01,4.000000000000000000e+01
1.338626555285153152e+01,1.700000000000000000e+01
2.637985615787599514e+01,3.400000000000000000e+01
2.931955410894653724e+01,4.000000000000000000e+01
1.056932953666314923e+01,1.500000000000000000e+01
2.038599415295333017e+01,3.000000000000000000e+01
3.071830924307275623e+01,4.000000000000000000e+01
3.170000608108507123e+01,4.000000000000000000e+01
1.758536063033866981e+01,2.400000000000000000e+01
2.478626555312406055e+01,3.200000000000000000e+01
3.031897955784179999e+01,4.000000000000000000e+01
2.951995331866662298e+01,4.000000000000000000e+01
2.955292572967523057e+01,4.000000000000000000e+01
2.985226079378356090e+01,4.000000000000000000e+01
2.915222467511028981e+01,4.000000000000000000e+01
3.015355450236968338e+01,4.000000000000000000e+01
2.888625420375319308e+01,4.000000000000000000e+01
3.176224261713815622e+01,4.000000000000000000e+01
3.002021518004689327e+01,4.000000000000000000e+01
3.025226607253921429e+01,4.000000000000000000e+01
3.055355450236968906e+01,4.000000000000000000e+01
3.055355448692633047e+01,4.000000000000000000e+01
5.567017227219125175e+00,8.000000000000000000e+00
3.228688774231022052e+01,4.000000000000000000e+01
2.698654540070045726e+01,4.000000000000000000e+01
3.158688781608636731e+01,4.000000000000000000e+01
3.125226316746560329e+01,4.000000000000000000e+01
3.009886493861831269e+01,4.000000000000000000e+01
2.585226607257394349e+01,3.400000000000000000e+01
3.308688783570300274e+01,4.000000000000000000e+01
2.881959844516076430e+01,4.000000000000000000e+01
2.016666668055378864e+01,2.700000000000000000e+01
2.935236088346984573e+01,4.000000000000000000e+01
2.915355284349770670e+01,4.000000000000000000e+01
3.011956448830348876e+01,4.000000000000000000e+01
2.802022116903635407e+01,4.000000000000000000e+01
3.091975891791549103e+01,4.000000000000000000e+01
3.082022116903634767e+01,4.000000000000000000e+01
3.201959844562048829e+01,4.000000000000000000e+01
1.751612384367707165e+01,2.300000000000000000e+01
3.023568219067925966e+01,4.000000000000000000e+01
3.085292925679741316e+01,4.000000000000000000e+01
2.171819775060689750e+01,2.700000000000000000e+01
3.038580163142192347e+01,4.000000000000000000e+01
3.045226549765975221e+01,4.000000000000000000e+01
3.185293221972192867e+01,4.000000000000000000e+01
2.988688116138451178e+01,4.000000000000000000e+01
3.042022116903634554e+01,4.000000000000000000e+01
2.741959159557148951e+01,4.000000000000000000e+01
1.171893144917751250e+01,1.600000000000000000e+01
2.901612395043510517e+01,4.000000000000000000e+01
3.028688783570301979e+01,4.000000000000000000e+01
2.897383308243152378e+00,4.000000000000000000e+00
2.618546755517272473e+01,3.400000000000000000e+01
3.005235594644059205e+01,4.000000000000000000e+01
2.968496358121059586e+01,4.000000000000000000e+01
2.985226796509650882e+01,4.000000000000000000e+01
4.101993967067486757e+00,6.000000000000000000e+00
3.068536456284196490e+01,4.000000000000000000e+01
2.995355450236966632e+01,4.000000000000000000e+01
3.222806645287883498e+01,4.000000000000000000e+01
3.041803682171050838e+01,4.000000000000000000e+01
2.815173744093723940e+01,4.000000000000000000e+01
1.678642559664051248e+01,2.200000000000000000e+01
1.821924512939756369e+01,2.600000000000000000e+01
1.359952932002897441e+01,1.700000000000000000e+01
7.286218164894890492e+00,1.000000000000000000e+01
3.436338450372304720e+01,4.000000000000000000e+01
3.095134579120244922e+01,4.000000000000000000e+01
3.131893065201371584e+01,4.000000000000000000e+01
2.908595639497453433e+01,4.000000000000000000e+01
2.222955581670954217e+01,2.900000000000000000e+01
2.925261487558604756e+01,4.000000000000000000e+01
3.082022116903633346e+01,4.000000000000000000e+01
3.031905540822351952e+01,4.000000000000000000e+01
8.648487074944840813e+00,1.100000000000000000e+01
2.871626858739259802e+01,4.000000000000000000e+01
3.058559940411021572e+01,4.000000000000000000e+01
2.947882290034242203e+01,4.000000000000000000e+01
2.925292572951689252e+01,4.000000000000000000e+01
5.120220276666811010e+00,8.000000000000000000e+00
3.063206044879188639e+01,4.000000000000000000e+01
2.319507440463468839e+01,2.800000000000000000e+01
3.065182898293659264e+01,4.000000000000000000e+01
2.821991322195909646e+01,4.000000000000000000e+01
3.016802588399412244e+01,4.000000000000000000e+01
3.108688782337683776e+01,4.000000000000000000e+01
3.215355450233377610e+01,4.000000000000000000e+01
7.269322655017655066e+00,9.000000000000000000e+00
2.948555058875197332e+01,4.000000000000000000e+01
3.021974886977185548e+01,4.000000000000000000e+01
2.945056745200736614e+01,4.000000000000000000e+01
3.276386612573037382e+01,4.000000000000000000e+01
3.255355450236918813e+01,4.000000000000000000e+01
4.986841657463294553e+00,8.000000000000000000e+00
2.971729554005614560e+01,4.000000000000000000e+01
9.362715002650091378e+00,1.100000000000000000e+01
3.095320393504573175e+01,4.000000000000000000e+01
3.231817069888913352e+01,4.000000000000000000e+01
3.181890619560684286e+01,4.000000000000000000e+01
1.828587684566575078e+01,2.400000000000000000e+01
3.091870559266676821e+01,4.000000000000000000e+01
2.948688783570302263e+01,4.000000000000000000e+01
3.029869899272387812e+01,4.000000000000000000e+01
3.031614570069140768e+01,4.000000000000000000e+01
2.815355450236968338e+01,4.000000000000000000e+01
2.970087337340713773e+01,4.000000000000000000e+01
2.935203272543684605e+01,4.000000000000000000e+01
2.003204969637146249e+01,2.500000000000000000e+01
2.992022027228929204e+01,4.000000000000000000e+01
3.051995332004191397e+01,4.000000000000000000e+01
3.088459012557056127e+01,4.000000000000000000e+01
3.116442694112077660e+01,4.000000000000000000e+01
3.075138685987573339e+01,4.000000000000000000e+01
3.078569120316617003e+01,4.000000000000000000e+01
2.336479292890694026e+01,3.100000000000000000e+01
3.145226560289385986e+01,4.000000000000000000e+01
3.011959669501817061e+01,4.000000000000000000e+01
2.935266073476005033e+01,4.000000000000000000e+01
3.001913733177068977e+01,4.000000000000000000e+01
3.173287648015742946e+01,4.000000000000000000e+01
2.735235174504066080e+01,4.000000000000000000e+01
2.808688714035986322e+01,4.000000000000000000e+01
1.276377634820370410e+01,1.600000000000000000e+01
2.529640405774842193e+01,3.200000000000000000e+01
3.082022116903634057e+01,4.000000000000000000e+01
3.265226607253917024e+01,4.000000000000000000e+01
3.001959767941163548e+01,4.000000000000000000e+01
3.130848604656453205e+01,4.000000000000000000e+01
2.840114681594230461e+01,4.000000000000000000e+01
3.068654325078029288e+01,4.000000000000000000e+01
3.109621221624987086e+01,4.000000000000000000e+01
2.958440882092867241e+01,4.000000000000000000e+01
3.108688783570299563e+01,4.000000000000000000e+01
2.155100598482663443e+01,3.000000000000000000e+01
1.274905971432664309e+01,1.700000000000000000e+01
9.853547620487454139e+00,1.200000000000000000e+01
3.288533312458558555e+01,4.000000000000000000e+01
3.015146044041087947e+01,4.000000000000000000e+01
2.948688783570236893e+01,4.000000000000000000e+01
3.035102255848315522e+01,4.000000000000000000e+01
3.082022116903632636e+01,4.000000000000000000e+01
3.005291924935445635e+01,4.000000000000000000e+01
2.918351141059510923e+01,4.000000000000000000e+01
3.321760150675940082e+01,4.000000000000000000e+01
2.885182374444472231e+01,4.000000000000000000e+01
3.193003741949211971e+01,4.000000000000000000e+01
2.968591367736151554e+01,4.000000000000000000e+01
3.001912696411811154e+01,4.000000000000000000e+01
1.168587706943690741e+01,1.400000000000000000e+01
3.015189391480521763e+01,4.000000000000000000e+01
2.895235007859009713e+01,4.000000000000000000e+01
3.262911304001815438e+01,4.000000000000000000e+01
3.118622209549496205e+01,4.000000000000000000e+01
4.112025131710565162e+00,5.000000000000000000e+00
3.208466925346493781e+01,4.000000000000000000e+01
3.191712918507730379e+01,4.000000000000000000e+01
3.059845638713341387e+01,4.000000000000000000e+01
1.548364538999516959e+01,2.000000000000000000e+01
9.450028428296930016e+00,1.300000000000000000e+01
3.115183553506637182e+01,4.000000000000000000e+01
1.273532464051913315e+01,1.700000000000000000e+01
3.129876709395732703e+01,4.000000000000000000e+01
3.408325033261495207e+01,4.000000000000000000e+01
3.051647740626835414e+01,4.000000000000000000e+01
2.717819478282126155e+01,3.300000000000000000e+01
3.031923692068571086e+01,4.000000000000000000e+01
2.631644986872417391e+01,3.600000000000000000e+01
1.989612731498807108e+01,2.400000000000000000e+01
2.975203192658317164e+01,4.000000000000000000e+01
6.832439762513548231e+00,1.000000000000000000e+01
3.061932380956340083e+01,4.000000000000000000e+01
3.065203850531107932e+01,4.000000000000000000e+01
3.095355450236967343e+01,4.000000000000000000e+01
2.928498767815156967e+01,4.000000000000000000e+01
1.259779373904191502e+01,1.600000000000000000e+01
3.258349027934573172e+01,4.000000000000000000e+01
2.961809989799671428e+01,4.000000000000000000e+01
