# actor_loss, critic_loss ,rewards
-7.886516451835632324e-01,6.644126772880554199e-01,8.350117425023904083e-01
-7.902482151985168457e-01,6.661256551742553711e-01,8.663909118502273188e-01
-7.738118767738342285e-01,6.519594192504882812e-01,3.333333333333336063e-02
-7.767009735107421875e-01,6.557233333587646484e-01,9.157750342935528920e-01
-7.774296998977661133e-01,6.558107733726501465e-01,8.152460950510027615e-01
-7.783560156822204590e-01,6.562656760215759277e-01,8.347087969264718188e-01
-7.771167159080505371e-01,6.534260511398315430e-01,7.178211126677482845e-01
-7.756131291389465332e-01,6.502544879913330078e-01,7.023470147283136233e-01
-7.741271853446960449e-01,6.471480131149291992e-01,7.003090726820347944e-01
-7.726914286613464355e-01,6.441497802734375000e-01,7.000407009323592611e-01
-7.734206914901733398e-01,6.444497108459472656e-01,8.157803940871265480e-01
-7.598951458930969238e-01,6.329463124275207520e-01,3.333333333333336063e-02
-7.609304785728454590e-01,6.336070895195007324e-01,8.327113850086175217e-01
-7.601256966590881348e-01,6.314786672592163086e-01,7.175567607980314344e-01
-7.610817551612854004e-01,6.320760846138000488e-01,8.180872352253839574e-01
-7.618063092231750488e-01,6.323300004005432129e-01,7.973809850780075870e-01
-7.642702460289001465e-01,6.356022357940673828e-01,9.155103193502324155e-01
-7.516965270042419434e-01,6.253543496131896973e-01,0.000000000000000000e+00
-7.528877854347229004e-01,6.262772679328918457e-01,8.333333333333333703e-01
-7.522759437561035156e-01,6.244512796401977539e-01,7.175582990397805228e-01
-7.514078617095947266e-01,6.222936511039733887e-01,7.023122039887778056e-01
-7.505709528923034668e-01,6.202082037925720215e-01,7.003044877680695279e-01
-7.502112388610839844e-01,6.188284158706665039e-01,7.333333333333333925e-01
-7.499177455902099609e-01,6.175702214241027832e-01,7.333351753588029931e-01
-7.496540546417236328e-01,6.163794994354248047e-01,7.333340153674234863e-01
-7.493918538093566895e-01,6.152141094207763672e-01,7.333334248499970842e-01
-7.487363815307617188e-01,6.135069727897644043e-01,7.000000000000000666e-01
-7.496247887611389160e-01,6.141594052314758301e-01,8.157732868382386870e-01
-7.511044740676879883e-01,6.158223748207092285e-01,8.637467753062146869e-01
-7.542095780372619629e-01,6.205021739006042480e-01,9.821368912869461454e-01
-7.574307918548583984e-01,6.254504323005676270e-01,9.976476988565415871e-01
-7.604607939720153809e-01,6.300572752952575684e-01,9.996902319486533628e-01
-7.635723948478698730e-01,6.348630189895629883e-01,9.999592074994131385e-01
-7.652266621589660645e-01,6.369385719299316406e-01,8.842195938545179823e-01
-7.660821676254272461e-01,6.376553773880004883e-01,8.350110402504782314e-01
-7.654316425323486328e-01,6.360577940940856934e-01,7.178611108092459725e-01
-7.660238742828369141e-01,6.363734602928161621e-01,8.181273200223211362e-01
-7.681766152381896973e-01,6.394470930099487305e-01,9.471059300731058395e-01
-7.594311237335205078e-01,6.317644715309143066e-01,6.666666666666665186e-02
-7.585186958312988281e-01,6.297935247421264648e-01,6.842249657064471968e-01
-7.573922872543334961e-01,6.275520324707031250e-01,6.689788706554443687e-01
-7.565436959266662598e-01,6.257017254829406738e-01,7.000000000000000666e-01
-7.558446526527404785e-01,6.240733861923217773e-01,7.000366512391716922e-01
-7.548785209655761719e-01,6.220954060554504395e-01,6.666666666666666297e-01
-7.551248073577880859e-01,6.218854188919067383e-01,7.824406605264567771e-01
-7.555447220802307129e-01,6.219614148139953613e-01,7.976878857868398010e-01
-7.559762597084045410e-01,6.220686435699462891e-01,7.996955242885311899e-01
-7.563947439193725586e-01,6.221678256988525391e-01,7.999599044332880160e-01
-7.570741772651672363e-01,6.227007508277893066e-01,8.327061324346883842e-01
-7.566654682159423828e-01,6.215705871582031250e-01,7.175560655816739519e-01
-7.557774782180786133e-01,6.197855472564697266e-01,6.680931916519666780e-01
-7.548030614852905273e-01,6.178976297378540039e-01,6.669676566632176673e-01
-7.540835142135620117e-01,6.163651347160339355e-01,7.000000000000000666e-01
-7.546587586402893066e-01,6.167781352996826172e-01,8.157785781289685900e-01
-7.553893327713012695e-01,6.174561381340026855e-01,8.310218228699582932e-01
-7.564016580581665039e-01,6.186196208000183105e-01,8.657418413894918396e-01
-7.563444972038269043e-01,6.180731654167175293e-01,7.508500147699871397e-01
-7.561140060424804688e-01,6.172788739204406738e-01,7.356402526700652755e-01
-7.569790482521057129e-01,6.182217001914978027e-01,8.494121602463055032e-01
-7.590553760528564453e-01,6.213788390159606934e-01,9.801695025854172405e-01
-7.613242268562316895e-01,6.249330043792724609e-01,9.973885764721543978e-01
-7.635653614997863770e-01,6.284505128860473633e-01,9.996561088358392189e-01
-7.656706571578979492e-01,6.317154169082641602e-01,9.999547139207689561e-01
-7.601506114006042480e-01,6.261322498321533203e-01,1.733261770146400094e-01
-7.607744932174682617e-01,6.266800761222839355e-01,8.333333333333333703e-01
-7.611721754074096680e-01,6.268671154975891113e-01,7.993780516752840848e-01
-7.617259025573730469e-01,6.273163557052612305e-01,8.327539729717544637e-01
-7.623541951179504395e-01,6.278972029685974121e-01,8.333326058710461837e-01
-7.627083659172058105e-01,6.280379891395568848e-01,7.993793855581478036e-01
-7.557940483093261719e-01,6.225346326828002930e-01,0.000000000000000000e+00
-7.561536431312561035e-01,6.226468682289123535e-01,7.999999999999999334e-01
-7.565167546272277832e-01,6.227727532386779785e-01,7.999999999999999334e-01
-7.558833956718444824e-01,6.214302182197570801e-01,6.842249657064471968e-01
-7.560567259788513184e-01,6.212713122367858887e-01,7.847539049489972163e-01
-7.563602328300476074e-01,6.213240623474121094e-01,7.979922837792918777e-01
-7.566782832145690918e-01,6.214068531990051270e-01,7.997356093865733984e-01
-7.579352855682373047e-01,6.230967640876770020e-01,9.157402174226488833e-01
-7.583585381507873535e-01,6.233615875244140625e-01,8.152415101132706177e-01
-7.596615552902221680e-01,6.251544952392578125e-01,9.177821467364526420e-01
-7.610080838203430176e-01,6.270374059677124023e-01,9.312854404481475390e-01
-7.623469829559326172e-01,6.289160251617431641e-01,9.330636519657368178e-01
-7.627539634704589844e-01,6.291785240173339844e-01,8.175227854440475506e-01
-7.632306814193725586e-01,6.295616626739501953e-01,8.350070910137551428e-01
-7.639771103858947754e-01,6.304047107696533203e-01,8.663020916728324528e-01
-7.584138512611389160e-01,6.255344748497009277e-01,6.666666666666665186e-02
-7.586830258369445801e-01,6.255649924278259277e-01,7.999999999999999334e-01
-7.598648667335510254e-01,6.271597146987915039e-01,9.157750342935528920e-01
-7.611196637153625488e-01,6.288976073265075684e-01,9.310211293445557201e-01
-7.623457312583923340e-01,6.305910348892211914e-01,9.330288455652637758e-01
-7.627184987068176270e-01,6.308091282844543457e-01,8.175182018851376853e-01
-7.638311982154846191e-01,6.323102116584777832e-01,9.180819579985914913e-01
-7.650693655014038086e-01,6.340508460998535156e-01,9.313249217666182966e-01
-7.654289007186889648e-01,6.342630982398986816e-01,8.172938168581556084e-01
-7.656621932983398438e-01,6.342771053314208984e-01,8.022773750595102449e-01
-7.658762335777282715e-01,6.342656612396240234e-01,8.002999012424046876e-01
-7.652638554573059082e-01,6.330394744873046875e-01,6.842644588741713108e-01
-7.645425796508789062e-01,6.316726803779602051e-01,6.689840714018112644e-01
-7.638164758682250977e-01,6.303051114082336426e-01,6.669718393066857987e-01
-7.630985379219055176e-01,6.289541721343994141e-01,6.667068540102083496e-01
-7.578404545783996582e-01,6.245867013931274414e-01,3.333333333333336063e-02
-7.581223845481872559e-01,6.246788501739501953e-01,7.999999999999999334e-01
-7.583988308906555176e-01,6.247670650482177734e-01,7.999999999999999334e-01
-7.578958272933959961e-01,6.237039566040039062e-01,6.842249657064471968e-01
-7.572837471961975098e-01,6.224985122680664062e-01,6.689788706554443687e-01
-7.521248459815979004e-01,6.183214783668518066e-01,3.044877680695723399e-04
-7.536514401435852051e-01,6.206165552139282227e-01,9.824417009602194328e-01
-7.552753090858459473e-01,6.231139898300170898e-01,9.976877960112222610e-01
-7.566862702369689941e-01,6.252014040946960449e-01,9.658914644650052894e-01
-7.582378387451171875e-01,6.275739073753356934e-01,9.995021342754846216e-01
-7.598121166229248047e-01,6.300010085105895996e-01,9.999946070089862360e-01
-7.613528966903686523e-01,6.323703527450561523e-01,9.999993046534280117e-01
-7.568133473396301270e-01,6.283348202705383301e-01,6.666666666666665186e-02
-7.570475339889526367e-01,6.283439397811889648e-01,7.999999999999999334e-01
-7.580114603042602539e-01,6.296007633209228516e-01,9.157750342935528920e-01
-7.590692639350891113e-01,6.310363411903381348e-01,9.310211293445557201e-01
-7.601263523101806641e-01,6.324771046638488770e-01,9.330288455652637758e-01
-7.613303065299987793e-01,6.342011690139770508e-01,9.661547374453491877e-01
-7.618714570999145508e-01,6.347354650497436523e-01,8.508860545583797341e-01
-7.615998387336730957e-01,6.340007781982421875e-01,7.198698071316046443e-01
-7.614061236381530762e-01,6.333827972412109375e-01,7.350578649276742205e-01
-7.619306445121765137e-01,6.339018344879150391e-01,8.494511510076675487e-01
-7.618411779403686523e-01,6.334453225135803223e-01,7.486248004669288081e-01
-7.617080211639404297e-01,6.329277157783508301e-01,7.353470249600969622e-01
-7.615128755569458008e-01,6.323230266571044922e-01,7.335985108333714644e-01
-7.613184452056884766e-01,6.317229866981506348e-01,7.333682538271726337e-01
-7.618017196655273438e-01,6.321921348571777344e-01,8.491129662104369702e-01
-7.617054581642150879e-01,6.317437887191772461e-01,7.485800339591247576e-01
-7.621807456016540527e-01,6.322070956230163574e-01,8.511161635940686088e-01
-7.627623081207275391e-01,6.328556537628173828e-01,8.646188637929088650e-01
-7.633332014083862305e-01,6.334899067878723145e-01,8.663969971524269065e-01
-7.644287943840026855e-01,6.350821256637573242e-01,9.824061889254224189e-01
-7.655984759330749512e-01,6.368228197097778320e-01,9.638876728748518863e-01
-7.667441368103027344e-01,6.385231614112854004e-01,9.663614575201506796e-01
-7.678743004798889160e-01,6.401992440223693848e-01,9.666264884137838465e-01
-7.689845561981201172e-01,6.418423652648925781e-01,9.666613757034300258e-01
-7.699266672134399414e-01,6.431705951690673828e-01,9.328606382634639926e-01
-7.708023786544799805e-01,6.443793773651123047e-01,9.333331295175676390e-01
-7.718010544776916504e-01,6.458244323730468750e-01,9.661946142236684798e-01
-7.728649973869323730e-01,6.473999023437500000e-01,9.666665529388089872e-01
-7.693312168121337891e-01,6.439632177352905273e-01,1.399999997469734137e-01
-7.696155905723571777e-01,6.441341042518615723e-01,8.327113850086175217e-01
-7.699323892593383789e-01,6.443616747856140137e-01,8.333325585628742482e-01
-7.701086401939392090e-01,6.443632245063781738e-01,7.993794276005444788e-01
-7.702471017837524414e-01,6.443072557449340820e-01,7.999992267342621588e-01
-7.703629732131958008e-01,6.442182660102844238e-01,7.999999992218597145e-01
-7.661802768707275391e-01,6.408308148384094238e-01,0.000000000000000000e+00
-7.663492560386657715e-01,6.408136487007141113e-01,7.999999999999999334e-01
