# returns,episode_length
4.164268104680695082e+00,5.000000000000000000e+00
2.388581776205737839e+01,4.000000000000000000e+01
7.026033052446589267e+00,1.200000000000000000e+01
9.826043324740924234e+00,1.400000000000000000e+01
8.720542806868271768e+00,1.100000000000000000e+01
9.468336804265700124e+00,1.300000000000000000e+01
1.649882834761731587e+01,2.400000000000000000e+01
5.306746880234379127e+00,8.000000000000000000e+00
9.912609264866487635e+00,1.500000000000000000e+01
1.163538308388544884e+01,1.700000000000000000e+01
3.418279352563167173e+00,6.000000000000000000e+00
1.846818356684521945e+01,3.000000000000000000e+01
6.764281140116920277e+00,8.000000000000000000e+00
5.083333333333333037e+00,7.000000000000000000e+00
9.316830868610269434e+00,1.200000000000000000e+01
1.144482345240213661e+01,1.500000000000000000e+01
1.691072480294143698e+00,3.000000000000000000e+00
3.191721933965974145e+00,5.000000000000000000e+00
7.802313468733492741e+00,1.000000000000000000e+01
8.276955234820615459e+00,1.400000000000000000e+01
1.887688849750019493e+00,3.000000000000000000e+00
2.054355516416686456e+00,3.000000000000000000e+00
1.030404000769575745e+01,1.400000000000000000e+01
2.579053873707317202e+00,4.000000000000000000e+00
2.581518249242932050e+00,4.000000000000000000e+00
2.276025869276931068e+00,4.000000000000000000e+00
2.194291696453905161e+01,3.100000000000000000e+01
6.947652400833541186e+00,1.100000000000000000e+01
1.105247437488012352e+01,1.700000000000000000e+01
4.503375015592554931e+00,8.000000000000000000e+00
2.027679658751260217e+00,4.000000000000000000e+00
5.998791246401085075e+00,8.000000000000000000e+00
5.694405919306661623e+00,9.000000000000000000e+00
5.996456090704995745e+00,9.000000000000000000e+00
2.505345950037143510e+01,4.000000000000000000e+01
1.945708231141086042e+00,3.000000000000000000e+00
3.471778177560453926e+00,5.000000000000000000e+00
1.773230342355012823e+01,3.000000000000000000e+01
1.499831010549257115e+01,2.200000000000000000e+01
1.519174413992749173e+01,2.000000000000000000e+01
5.499864198228094025e+00,9.000000000000000000e+00
5.637186330071063622e+00,7.000000000000000000e+00
1.834597762922951736e+00,3.000000000000000000e+00
1.888978864218614717e+01,2.600000000000000000e+01
6.706773673078652465e+00,1.100000000000000000e+01
3.608792928679002809e+00,5.000000000000000000e+00
4.528135852175636522e+00,8.000000000000000000e+00
1.138612244718323474e+01,1.400000000000000000e+01
2.067783927863589888e+00,3.000000000000000000e+00
2.637688849750019493e+00,4.000000000000000000e+00
1.204180460626253435e+01,1.700000000000000000e+01
5.057328440664072389e+00,8.000000000000000000e+00
9.113058693643782959e+00,1.500000000000000000e+01
5.024671985276085273e+00,7.000000000000000000e+00
1.727941496027699131e+01,2.700000000000000000e+01
1.191799112972186236e+01,2.000000000000000000e+01
5.083786092455148342e+00,8.000000000000000000e+00
1.151590724815326094e+00,2.000000000000000000e+00
8.190534006252276455e+00,1.000000000000000000e+01
4.218595987645345602e+00,6.000000000000000000e+00
4.307199639356193543e+00,7.000000000000000000e+00
6.469586299760011983e+00,1.000000000000000000e+01
3.330942686084941151e+00,4.000000000000000000e+00
